couple_id,rivmth_idx,cmf_col_15min,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,cmf_row_15min,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
0,3692,2,0.0,65.375,-179.375,37.0,98,5650385920.0,-179.707,65.91145999999999,56726.08030625923,4697,diva_id__4229,-179.446258545,65.4129180908,0.204,-179.446258545,65.4129180908
1,2487,4,0.0,68.875,-178.875,33.0,84,5681438720.0,-179.8242,68.90625,38712.616386480324,4694,diva_id__4226,-178.934570312,68.7720794678,-0.108,-178.934570312,68.7720794678
2,2638,5,0.0,68.625,-178.625,10.0,85,1644016640.0,-177.7148,68.35938,43310.59750503966,4695,diva_id__4227,-178.532073975,68.60791778560001,-0.103,-178.532073975,68.60791778560001
3,3488,5,2829.0,66.125,-178.625,21.0,95,2466344192.0,-178.418,65.44270999999999,71646.73523597601,4698,diva_id__4230,-178.652923584,66.07958221439999,0.245,-178.652923584,66.07958221439999
4,3694,7,2007.0,65.375,-178.125,10.0,98,1197374464.0,-178.418,65.44270999999999,9596.779584285781,4698,diva_id__4230,-178.212921143,65.4562530518,0.245,-178.212921143,65.4562530518
5,2759,8,0.0,68.375,-177.875,147.0,86,33129375744.0,-177.7148,68.35938,3438.687706588592,4695,diva_id__4227,-177.79124450700002,68.3720855713,-0.103,-177.79124450700002,68.3720855713
6,3634,12,0.0,65.625,-176.875,15.0,97,1521382656.0,-178.418,65.44270999999999,69328.1939457456,4698,diva_id__4230,-176.966247559,65.6062469482,0.245,-176.966247559,65.6062469482
7,3759,16,0.0,65.125,-175.875,25.0,99,2089413632.0,-175.0195,64.76563,61138.96944664594,4700,diva_id__4232,-175.80708313,65.20291900630001,0.299,-175.80708313,65.20291900630001
8,3761,18,0.0,65.125,-175.375,25.0,99,2089413632.0,-175.0195,64.76563,49315.13660756273,4700,diva_id__4232,-175.784576416,65.0679168701,0.299,-175.784576416,65.0679168701
9,3320,19,0.0,66.625,-175.125,11.0,93,1146204288.0,-174.668,66.74479000000001,14566.69481599998,4699,diva_id__4231,-174.934570312,66.6670837402,0.086,-174.934570312,66.6670837402
10,3401,19,0.0,66.375,-175.125,11.0,94,1146204288.0,-174.668,66.74479000000001,18345.572336003686,4699,diva_id__4231,-174.80291748,66.5887527466,0.086,-174.80291748,66.5887527466
11,3179,20,0.0,67.125,-174.875,21.0,91,2703240448.0,-174.668,66.74479000000001,38019.729831584424,4699,diva_id__4231,-174.897079468,67.0745849609,0.086,-174.897079468,67.0745849609
