index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn
0,3692,0.000000,65.375000,-179.375000,38,5650.385742,-179.707000,65.911460,56726,4697,diva_id__4229,-179.446259,65.412918,0.204000,-179.446259,65.412918,2.000000,0.000000
1,2487,0.000000,68.875000,-178.875000,34,5681.438477,-179.824200,68.906250,38713,4694,diva_id__4226,-178.934570,68.772079,-0.108000,-178.934570,68.772079,2.000000,0.000000
2,2638,0.000000,68.625000,-178.625000,10,1644.016602,-177.714800,68.359380,43311,4695,diva_id__4227,-178.532074,68.607918,-0.103000,-178.532074,68.607918,2.000000,0.000000
3,3488,2829.097360,66.125000,-178.625000,22,2466.344238,-178.418000,65.442710,71647,4698,diva_id__4230,-178.652924,66.079582,0.245000,-178.652924,66.079582,2.000000,0.000000
4,3694,2007.382364,65.375000,-178.125000,10,1197.374512,-178.418000,65.442710,9597,4698,diva_id__4230,-178.212921,65.456253,0.245000,-178.212921,65.456253,2.000000,0.000000
5,2759,0.000000,68.375000,-177.875000,147,33129.375000,-177.714800,68.359380,3439,4695,diva_id__4227,-177.791245,68.372086,-0.103000,-177.791245,68.372086,3.268691,0.000000
6,3634,0.000000,65.625000,-176.875000,15,1521.382690,-178.418000,65.442710,69328,4698,diva_id__4230,-176.966248,65.606247,0.245000,-176.966248,65.606247,2.000000,0.000000
7,3759,0.000000,65.125000,-175.875000,26,2089.413574,-175.019500,64.765630,61139,4700,diva_id__4232,-175.807083,65.202919,0.299000,-175.807083,65.202919,2.000000,0.000000
10,3401,0.000000,66.375000,-175.125000,11,1143.231567,-174.668000,66.744790,18346,4699,diva_id__4231,-174.802917,66.588753,0.086000,-174.802917,66.588753,2.000000,0.000000
11,3179,0.000000,67.125000,-174.875000,22,2703.240479,-174.668000,66.744790,38020,4699,diva_id__4231,-174.897079,67.074585,0.086000,-174.897079,67.074585,2.000000,0.000000
12,3321,0.000000,66.625000,-174.875000,11,1146.204346,-174.668000,66.744790,13189,4699,diva_id__4231,-174.921249,66.681252,0.086000,-174.921249,66.681252,2.000000,0.000000
13,3402,0.000000,66.375000,-174.375000,12,1425.069214,-174.316400,66.588540,28944,4701,diva_id__4233,-174.353745,66.328751,0.092000,-174.353745,66.328751,2.000000,0.000000
14,3864,6049.504800,64.625000,-174.125000,26,2796.346191,-175.019500,64.765630,38549,4700,diva_id__4232,-174.247070,64.659584,0.299000,-174.247070,64.659584,2.000000,0.000000
15,3404,0.000000,66.375000,-173.875000,60,7569.653320,-174.316400,66.588540,36947,4701,diva_id__4233,-173.962921,66.287918,0.092000,-173.962921,66.287918,2.034714,0.000000
16,3405,0.000000,66.375000,-173.625000,10,1125.592163,-174.316400,66.588540,36582,4701,diva_id__4233,-173.712921,66.364586,0.092000,-173.712921,66.364586,2.000000,0.000000
17,3183,0.000000,67.125000,-173.375000,17,2686.254883,-172.558600,67.005210,30684,4705,diva_id__4237,-173.250412,67.062080,-0.056000,-173.250412,67.062080,2.000000,0.000000
19,3763,0.000000,65.125000,-172.125000,14,1130.521973,-172.207000,64.843750,33841,4708,diva_id__4240,-172.151245,65.147079,0.177000,-172.151245,65.147079,2.000000,0.000000
20,3324,0.000000,66.625000,-171.125000,24,4045.150146,-171.152300,66.588540,4357,4706,diva_id__4238,-171.071259,66.566254,0.051000,-171.071259,66.566254,2.000000,0.000000
21,3406,0.000000,66.375000,-170.375000,10,1396.266602,-171.152300,66.588540,46067,4706,diva_id__4238,-170.362091,66.320419,0.051000,-170.362091,66.320419,2.000000,0.000000
22,3490,0.000000,66.125000,-170.125000,10,1086.898560,-171.035200,65.651040,73358,1131,diva_id__660,-170.060425,66.177086,0.113000,-170.060425,66.177086,2.000000,0.000000
23,2760,0.000000,68.375000,-166.375000,28,5847.637695,-166.464800,68.411460,1247,4710,diva_id__4242,-166.434586,68.412918,0.110000,-166.434586,68.412918,2.000000,0.000000
24,3765,2010.024178,65.125000,-166.125000,51,10829.194336,-166.933600,65.182290,42473,4723,diva_id__4255,-166.029587,65.227921,0.335000,-166.029587,65.227921,2.000000,0.000000
25,3498,1999.548700,66.125000,-165.375000,11,1896.868896,-166.230500,66.223960,34198,6163,diva_id__5695,-165.489578,66.152916,0.262000,-165.489578,66.152916,2.000000,0.000000
