index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
8,3761,0.000000,65.125000,-175.375000,-175.019500,64.765630,49315,4700,diva_id__4232,-175.784576,65.067917,0.299000,-175.784576,65.067917
9,3320,0.000000,66.625000,-175.125000,-174.668000,66.744790,14567,4699,diva_id__4231,-174.934570,66.667084,0.086000,-174.934570,66.667084
18,3762,2845.000000,65.125000,-172.375000,-172.207000,64.843750,25479,4708,diva_id__4240,-172.163757,65.072083,0.177000,-172.163757,65.072083
31,3499,0.000000,66.125000,-164.625000,-164.355500,66.588540,44421,4718,diva_id__4250,-164.192078,66.194580,0.221000,-164.192078,66.194580
33,3500,1999.000000,66.125000,-164.375000,-164.355500,66.588540,48922,4718,diva_id__4250,-163.962082,66.177917,0.221000,-163.962082,66.177917
34,4592,0.000000,61.125000,-164.375000,-164.824200,60.963540,13932,4735,diva_id__4267,-164.831253,61.088749,0.462000,-164.831253,61.088749
36,2949,0.000000,67.875000,-163.875000,-164.003900,67.526040,21627,4714,diva_id__4246,-164.327911,67.676247,0.204000,-164.327911,67.676247
54,4833,2070.000000,60.125000,-161.875000,-162.363300,60.234380,14141,4741,diva_id__4273,-162.192917,60.139584,0.517000,-162.192917,60.139584
65,4045,0.000000,63.875000,-160.625000,-161.308600,63.463540,45370,4730,diva_id__4262,-160.772079,63.794582,0.513000,-160.772079,63.794582
77,5202,0.000000,58.875000,-157.875000,-158.378900,58.723960,28011,4743,diva_id__4275,-158.062912,58.915417,0.506000,-158.062912,58.915417
83,1696,0.000000,70.375000,-152.375000,-151.816400,70.703130,30111,4720,diva_id__4252,-151.979584,70.437920,0.082000,-151.979584,70.437920
88,4552,0.000000,61.375000,-150.875000,-150.644500,61.223960,9648,4760,diva_id__4292,-150.824585,61.227081,0.400000,-150.824585,61.227081
96,4601,0.000000,61.125000,-148.875000,-149.414100,60.885420,65429,4764,diva_id__4296,-149.352921,61.472916,0.405000,-149.352921,61.472916
104,1933,0.000000,69.875000,-144.375000,-144.902300,69.973960,28211,1135,diva_id__664,-144.182083,70.034584,0.109000,-144.182083,70.034584
105,4781,4622.000000,60.375000,-144.375000,-144.785200,60.442710,1797,4772,diva_id__4304,-144.752914,60.445415,0.469000,-144.752914,60.445415
114,4848,0.000000,60.125000,-141.875000,-142.089800,60.026040,37564,4773,diva_id__4305,-141.452087,60.139584,0.432000,-141.452087,60.139584
116,2079,0.000000,69.625000,-141.375000,-141.503900,69.713540,261,4726,diva_id__4258,-141.510422,69.712914,0.101000,-141.510422,69.712914
118,4933,0.000000,59.875000,-140.125000,-139.746100,59.557290,28229,468,yakutat,-139.878754,59.802082,0.404000,-139.878754,59.802082
123,5051,0.000000,59.375000,-138.625000,-139.628900,59.427080,65260,1146,diva_id__675,-138.622086,59.144585,0.403000,-138.622086,59.144585
126,2495,1969.000000,68.875000,-137.875000,-137.402300,69.036460,10787,4729,diva_id__4261,-137.282074,68.949585,0.069000,-137.282074,68.949585
133,2379,4394.000000,69.125000,-130.375000,-131.191400,69.973960,66184,4732,diva_id__4264,-130.627075,69.412086,0.009000,-130.627075,69.412086
136,6352,0.000000,54.375000,-129.625000,-130.193900,54.138170,27358,16337,deltas_008,-129.805420,54.232082,0.506000,-129.805420,54.232082
145,910,1935.000000,72.375000,-125.125000,-125.859400,71.901690,74186,6267,diva_id__5799,-125.122917,72.529587,0.006000,-125.122917,72.529587
158,245,4296.000000,74.375000,-124.125000,-124.570300,74.348960,18443,6269,diva_id__5801,-124.437912,74.187080,0.029000,-124.437912,74.187080
160,517,0.000000,73.375000,-124.125000,-124.101600,73.671880,18344,6266,diva_id__5798,-124.164581,73.507919,0.024000,-124.164581,73.507919
161,8044,0.000000,47.875000,-124.125000,-124.746100,48.072920,43035,4870,diva_id__4402,-124.432915,47.747917,0.434000,-124.432915,47.747917
169,279,2717.000000,74.125000,-123.875000,-124.570300,74.348960,21812,6269,diva_id__5801,-124.421249,74.157082,0.029000,-124.421249,74.157082
172,518,0.000000,73.375000,-123.625000,-124.101600,73.671880,16020,6266,diva_id__5798,-124.087082,73.527916,0.024000,-124.087082,73.527916
187,10844,0.000000,38.375000,-122.125000,-122.373000,38.046880,28101,1173,diva_id__702,-122.066254,38.121250,0.478000,-122.066254,38.121250
189,10986,0.000000,37.875000,-122.125000,-122.314500,37.734380,6519,4912,diva_id__4444,-122.242920,37.749580,0.477000,-122.242920,37.749580
195,11419,0.000000,36.375000,-121.875000,-121.933600,36.510420,2987,4943,diva_id__4475,-121.929581,36.537083,0.472000,-121.929581,36.537083
196,11232,0.000000,36.875000,-121.625000,-121.787100,36.848960,6723,4936,diva_id__4468,-121.793747,36.788750,0.471000,-121.793747,36.788750
199,11837,0.000000,34.625000,-120.375000,-120.615200,34.765630,3323,4950,diva_id__4482,-120.617920,34.795418,0.465000,-120.617920,34.795418
212,12182,0.000000,33.125000,-116.875000,-117.246100,33.072920,11034,4992,diva_id__4524,-117.267914,32.975418,0.478000,-117.267914,32.975418
213,12363,0.000000,32.375000,-116.875000,-117.128900,32.540380,42595,5008,diva_id__4540,-116.914581,32.202915,0.490000,-116.914581,32.202915
224,12779,0.000000,30.625000,-115.625000,-115.986300,30.442710,6061,384,san_quintin,-115.982086,30.497082,0.522000,-115.982086,30.497082
235,13700,0.000000,27.625000,-114.375000,-113.994100,27.682290,14089,5020,diva_id__4552,-114.120415,27.622917,0.541000,-114.120415,27.622917
239,2113,0.000000,69.625000,-113.875000,-115.664100,69.244790,53764,6317,diva_id__5849,-114.306244,69.296249,-0.061000,-114.306244,69.296249
241,13443,0.000000,28.375000,-113.875000,-114.111300,28.203130,27241,5015,diva_id__4547,-114.046249,28.441250,0.536000,-114.046249,28.441250
249,826,1934.000000,72.625000,-113.125000,-113.789100,72.682290,11582,6314,diva_id__5846,-113.447914,72.659584,-0.074000,-113.447914,72.659584
251,12781,2443.000000,30.625000,-113.125000,-113.056600,30.651040,20997,5045,diva_id__4577,-113.115417,30.832916,0.532000,-113.115417,30.832916
257,13970,0.000000,26.875000,-112.875000,-113.349600,26.796880,26117,1197,diva_id__726,-113.137085,26.935417,0.571000,-113.137085,26.935417
259,12911,2452.000000,30.125000,-112.625000,-112.763700,30.026040,4949,5046,diva_id__4578,-112.732918,29.990416,0.518000,-112.732918,29.990416
261,14046,0.000000,26.625000,-112.625000,-112.294900,26.067710,41809,5022,diva_id__4554,-112.617081,26.307915,0.569000,-112.617081,26.307915
265,1609,2763.000000,70.625000,-112.125000,-112.207000,70.390630,18318,6310,diva_id__5842,-112.400414,70.542084,-0.073000,-112.400414,70.542084
266,1834,2768.000000,70.125000,-112.125000,-112.207000,70.390630,24303,6310,diva_id__5842,-112.502914,70.196251,-0.073000,-112.502914,70.196251
269,1835,3913.000000,70.125000,-111.875000,-112.207000,70.390630,16816,6310,diva_id__5842,-112.290421,70.242081,-0.073000,-112.290421,70.242081
273,14381,0.000000,25.375000,-111.875000,-112.119100,25.286460,5287,5023,diva_id__4555,-112.075417,25.312916,0.579000,-112.075417,25.312916
