stations,station_id,station_x_coordinate,station_y_coordinate
60,b'charleston',-124.3066,43.38542
202,b'lautoka',177.4512,-17.63021
374,b'salina_cruz',-95.18555,16.17188
387,b'santa_barbara',-119.707,34.47917
419,b'subic_bay',120.2637,14.84375
488,b'diva_id__17',9.433594,42.00521
543,b'diva_id__72',-2.724609,48.48958
544,b'diva_id__73',-116.3086,31.17188
545,b'diva_id__74',-2.666016,48.48958
569,b'diva_id__98',-4.746094,48.35938
610,b'diva_id__139',-21.44531,77.55208
870,b'diva_id__399',-8.876954,40.05208
1014,b'diva_id__543',-4.980469,36.48438
1021,b'diva_id__550',6.152344,62.31771
1042,b'diva_id__571',17.16797,61.06771
1079,b'diva_id__608',-0.4980466,38.35938
1105,b'diva_id__634',0.4101565,40.44271
1109,b'diva_id__638',0.5566409,40.54688
1134,b'diva_id__663',2.285157,41.51042
1211,b'diva_id__740',-95.18555,16.17188
1260,b'diva_id__789',-74.70703,-46.01562
1262,b'diva_id__791',-63.57422,44.50521
1309,b'diva_id__838',14.91211,40.54688
1311,b'diva_id__840',-76.49414,38.82813
1318,b'diva_id__847',16.20117,38.80208
1329,b'diva_id__858',16.49414,39.84375
1497,b'diva_id__1026',22.58789,40.49479
1537,b'diva_id__1066',28.68164,41.30208
1548,b'diva_id__1077',27.62695,42.63021
1611,b'diva_id__1140',33.07617,45.67708
1749,b'diva_id__1278',39.19922,44.01042
1841,b'diva_id__1370',28.68164,41.30208
1852,b'diva_id__1381',26.16211,39.86979
1889,b'diva_id__1418',-66.79687,81.51042
1911,b'diva_id__1440',35.91797,35.44271
2061,b'diva_id__1590',14.23828,32.68229
2077,b'diva_id__1606',-19.10156,76.61458
2087,b'diva_id__1616',-73.79883,-45.75521
2154,b'diva_id__1683',6.386719,37.05729
2492,b'diva_id__2021',120.2637,14.84375
2673,b'diva_id__2202',6.738281,4.339303
2801,b'diva_id__2330',12.83203,-19.55729
2858,b'diva_id__2387',35.24414,-24.42708
2963,b'diva_id__2492',41.45508,14.24479
3009,b'diva_id__2538',41.16211,19.08854
3044,b'diva_id__2573',50.91797,15.13021
