id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
19,1137,1899.638802,77.079582,77.125000,104.272919,104.375000,14.093460,51,2256.635498,2.000000,0.000000
25,985,2688.949466,76.827919,76.875000,66.417084,66.375000,10.000000,52,1362.019653,2.000000,0.000000
42,1123,0.000000,76.502914,76.625000,100.975418,100.875000,44.647907,53,12150.083984,2.000000,0.000000
44,1146,0.000000,76.572914,76.625000,106.528748,106.625000,10.000000,53,1030.486572,2.000000,0.000000
47,1149,1903.614751,76.507919,76.625000,107.250420,107.375000,10.000000,53,1951.948975,2.000000,0.000000
49,1155,0.000000,76.722916,76.625000,108.937920,108.875000,10.000000,53,1273.565430,2.000000,0.000000
50,1159,0.000000,76.718750,76.625000,109.928757,109.875000,10.000000,53,1350.704956,2.000000,0.000000
53,1165,0.000000,76.716248,76.625000,111.263748,111.375000,10.000000,53,1803.851196,2.000000,0.000000
112,1118,0.000000,76.092087,76.125000,99.657089,99.625000,294.764709,55,127171.218750,4.736050,0.000000
116,1170,0.000000,76.047920,76.125000,112.614586,112.625000,10.000000,55,2187.637207,2.000000,0.000000
136,1093,1908.606879,75.817917,75.875000,93.369583,93.375000,12.787489,56,2164.491455,2.000000,0.000000
141,1103,1908.482584,75.838753,75.875000,95.762085,95.875000,10.000000,56,1546.705688,2.000000,0.000000
150,1169,7633.433630,75.857086,75.875000,112.267914,112.375000,10.000000,56,1584.791260,2.000000,0.000000
166,1086,7875.578085,75.622917,75.625000,91.712082,91.625000,10.000000,57,1138.456299,2.000000,0.000000
187,1174,1912.010313,75.382919,75.375000,113.545418,113.625000,10.000000,58,1216.935913,2.000000,0.000000
201,1072,1913.810771,75.137917,75.125000,88.197922,88.125000,10.000000,59,1247.081543,2.000000,0.000000
203,1172,0.000000,75.058746,75.125000,113.051254,113.125000,10.000000,59,1075.365234,2.000000,0.000000
212,960,1915.242369,74.957916,74.875000,60.102085,60.125000,10.000000,60,1536.619263,2.000000,0.000000
