grdc_id,river,station,country,lat_org,lon_org,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,lta_discharge,combi_relerr,dist,dist_relerr,lat,lon,upa_local_max,upa_relerr,uparea,cmf_row,cmf_col,cmf_lon,cmf_lat
1104150,CHELIF,SIDI BELATAR,DZ,36.02,0.27,43750,2,0,0,1978,2001,24,58.35,1976,1977,2,0,17.418,0.008047024,0,0,36.02,0.27,44373.48047,0.024141071,44278.08594,215,720,0.125,36.125
1104200,MINA,OUED EL-ABTAL,DZ,35.5,0.68,6635,205,1104150,0,,,,,1976,1978,3,0,2.583,0.15483779,556.5974504,0.055659745,35.5,0.675,6088.479004,0.353193879,5463.279297,218,722,0.625,35.375
1104300,RHIOU,AMMI MOUSSA,DZ,35.87,1.12,2398,140,1104150,0,,,,,1976,1979,4,0,3.229,0.137546261,0,0,35.87,1.12,2301.188232,0.412638783,1903.246094,216,724,1.125,35.875
1104450,MAZAFRAN,FER A CHEVAL,DZ,36.67,2.82,1912,10,0,0,1979,1995,17,0.03,1976,1978,3,0,3.723,0.062254938,556.5974504,0.055659745,36.67,2.815,1992.299438,0.075445324,1984.125732,213,731,2.875,36.625
1104480,BOUDOUAOU,KEDDARA,DZ,36.65,3.42,829,60,1104500,0,,,,,1976,1979,4,0,0.361,0.742012741,2359.350351,0.235935035,36.665,3.405,166.2266541,1.754168153,101.8972549,212,733,3.375,36.875
1104500,ISSER,LAKHDARIA,DZ,36.62,3.58,4149,90,0,0,,,,,1976,1979,4,0,6.472,0.08762603,0,0,36.62,3.58,3726.805176,0.26287809,3603.659424,212,734,3.625,36.875
1104530,SEBAOU,BAGHLIA,DZ,36.8,3.87,2501,20,0,0,,,,,1976,1979,4,0,17.792,0.072970916,555.3282736,0.055532827,36.805,3.87,2492.957764,0.107847095,2366.137207,212,735,3.875,36.875
1104600,BOUSELAM,SIDI YAHIA,DZ,36.42,4.6,4309,220,0,0,1988,1997,10,0,1976,1978,3,0,4.69,0.041860854,0,0,36.42,4.6,8165.195313,0.125582561,4038.432373,214,738,4.625,36.375
1104700,RHUMEL,OUED ATHMANIA,DZ,36.23,6.3,1220,710,0,0,,,,,1976,1978,3,0,0.083,0.11672746,1750.559699,0.17505597,36.245,6.295,2119.200439,7.04E-05,1220.042969,215,745,6.375,36.125
1104800,MELAH,BOUCHEGOUF,DZ,36.45,7.72,552,95,0,0,1978,2003,26,8.02,1976,1977,2,0,2.88,0.03761962,556.5974504,0.055659745,36.45,7.715,5521.124023,0.001539369,551.5751343,213,750,7.625,36.625
