id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea
19,1137,1899.0,77.0795822144,77.125,104.272918701,104.375,14.0,51,2256635392.0
25,985,2688.0,76.8279190063,76.875,66.4170837402,66.375,10.0,52,1362019712.0
42,1123,0.0,76.5029144287,76.625,100.975418091,100.875,44.0,53,12150083584.0
44,1146,0.0,76.5729141235,76.625,106.528747559,106.625,10.0,53,1030486592.0
47,1149,1903.0,76.5079193115,76.625,107.250419617,107.375,10.0,53,1951948928.0
49,1155,0.0,76.7229156494,76.625,108.937919617,108.875,10.0,53,1273565440.0
50,1159,0.0,76.71875,76.625,109.928756714,109.875,10.0,53,1350704896.0
52,1162,0.0,76.7387466431,76.625,110.898750305,110.625,10.0,53,1649452544.0
53,1165,0.0,76.7162475586,76.625,111.263748169,111.375,10.0,53,1803851136.0
74,1120,0.0,76.1720809937,76.375,99.7195892334,100.125,294.0,54,1.2717121536e+11
76,1143,0.0,76.5345840454,76.375,106.507919312,105.875,10.0,54,1030486592.0
112,1118,0.0,76.092086792,76.125,99.6570892334,99.625,294.0,55,1.2717121536e+11
116,1170,0.0,76.0479202271,76.125,112.614585876,112.625,10.0,55,2187637248.0
136,1093,1908.0,75.8179168701,75.875,93.3695831299,93.375,12.0,56,2164491520.0
141,1103,1908.0,75.8387527466,75.875,95.7620849609,95.875,10.0,56,1546705664.0
150,1169,7633.0,75.8570861816,75.875,112.267913818,112.375,10.0,56,1584791296.0
166,1086,7875.0,75.6229171753,75.625,91.7120819092,91.625,10.0,57,1138456320.0
170,1167,1908.0,75.7954177856,75.625,112.467918396,111.875,10.0,57,1584791296.0
186,1173,0.0,75.3904190063,75.375,113.627090454,113.375,10.0,58,1216935936.0
187,1174,1912.0,75.3829193115,75.375,113.545417786,113.625,10.0,58,1216935936.0
201,1072,1913.0,75.1379165649,75.125,88.1979217529,88.125,10.0,59,1247081600.0
203,1172,0.0,75.0587463379,75.125,113.051254272,113.125,10.0,59,1075365248.0
210,958,1916.0,74.8137512207,74.875,60.2337493896,59.625,10.0,60,1536619264.0
212,960,1915.0,74.9579162598,74.875,60.1020851135,60.125,10.0,60,1536619264.0
218,1168,1915.0,74.8870849609,74.875,112.124588013,112.125,10.0,60,1197112576.0
240,1164,0.0,74.6062469482,74.625,111.147079468,111.125,10.0,61,1317926400.0
245,223,4296.0,74.1870803833,74.375,-124.437911987,-124.125,10.0,62,2308357888.0
251,237,0.0,74.3845825195,74.375,-120.692077637,-120.625,10.0,62,1277512960.0
271,1158,1920.0,74.3287506104,74.375,109.57208252,109.625,10.0,62,1136785664.0
273,1160,7912.0,74.4954147339,74.375,110.212921143,110.125,12.0,62,3681050112.0
277,222,3845.0,74.0112533569,74.125,-124.303749084,-124.375,10.0,63,2308357888.0
279,224,2717.0,74.157081604,74.125,-124.42124939,-123.875,10.0,63,2308357888.0
280,240,0.0,74.0987472534,74.125,-119.787078857,-119.875,37.0,63,10421101568.0
282,243,0.0,74.0187530518,74.125,-119.137084961,-119.125,10.0,63,1136229120.0
283,244,2717.0,74.1454162598,74.125,-118.772918701,-118.875,10.0,63,1046239616.0
295,344,0.0,74.0787506104,74.125,-93.8020782471,-93.875,10.0,63,2353715712.0
318,1069,5437.0,74.0745849609,74.125,87.4320831299,87.375,10.0,63,1188931584.0
332,242,0.0,74.1012496948,73.875,-119.061248779,-119.375,10.0,64,1136229120.0
333,245,2718.0,74.0562515259,73.875,-118.841247559,-118.625,10.0,64,1046239616.0
359,371,0.0,73.8070831299,73.875,-87.0220794678,-87.125,11.0,64,2220963328.0
380,1068,0.0,73.8562469482,73.875,87.1437530518,87.125,560.0,64,1.7838759936e+11
381,1150,0.0,73.6270828247,73.875,107.405418396,107.625,21.0,64,5067683840.0
394,223,0.0,73.5679168701,73.625,-124.051254272,-124.125,38.0,65,10709169152.0
398,257,0.0,73.6629180908,73.625,-115.60458374,-115.625,13.0,65,2857169408.0
418,341,3851.0,73.657081604,73.625,-94.5895843506,-94.625,10.0,65,1472774528.0
419,356,0.0,73.5462493896,73.625,-90.967918396,-90.875,10.0,65,1456670592.0
445,405,7705.0,73.5979156494,73.625,-78.6454162598,-78.625,10.0,65,1142596480.0
467,1049,7705.0,73.5962524414,73.625,82.4412536621,82.375,20.0,65,2189748224.0
480,1149,0.0,73.6312484741,73.625,107.282913208,107.375,21.0,65,5067683840.0
487,1163,0.0,73.6987533569,73.625,110.901252747,110.875,10.0,65,1815872384.0
516,222,5784.0,73.3904190063,73.375,-124.357910156,-124.375,10.0,66,1118132608.0
517,223,0.0,73.5079193115,73.375,-124.164581299,-124.125,38.0,66,10709169152.0
518,225,0.0,73.5279159546,73.375,-124.087081909,-123.625,38.0,66,10709169152.0
522,258,0.0,73.2662506104,73.375,-115.258743286,-115.375,10.0,66,1961486720.0
547,365,4313.0,73.2787475586,73.375,-88.5837478638,-88.625,10.0,66,1164599296.0
561,404,1925.0,73.6362533569,73.375,-78.6929168701,-78.875,10.0,66,1142596480.0
589,1159,3855.0,73.4429168701,73.375,109.875419617,109.875,10.0,66,1021190336.0
591,1170,0.0,73.4520797729,73.375,113.212921143,112.625,24.0,66,7354019840.0
594,1176,1928.0,73.342918396,73.375,114.065414429,114.125,49.0,66,18976667648.0
595,1192,0.0,73.3695831299,73.375,118.412918091,118.125,10.0,66,1613128192.0
596,1193,0.0,73.3095855713,73.375,118.402915955,118.375,10.0,66,1613128192.0
602,1223,1928.0,73.3762512207,73.375,126.333747864,125.875,17.0,66,5034248704.0
603,1225,1928.0,73.3529129028,73.375,126.45791626,126.375,17.0,66,5034248704.0
616,253,2731.0,73.03125,73.125,-116.592910767,-116.625,13.0,67,2345161216.0
617,254,1930.0,73.0679168701,73.125,-116.348747253,-116.375,10.0,67,1036181632.0
